run,region,layer,chamber,status,total,passed,eff,eff_low,eff_up
342810,-1,2,16,1,316,0,0.0,0.0,0.005812159759469294
342810,-1,2,17,1,116,0,0.0,0.0,0.015753904607911567
342810,-1,2,18,1,225,0,0.0,0.0,0.008153250193937549
342810,-1,2,19,1,62,0,0.0,0.0,0.029272694033169268
342810,-1,2,20,1,222,45,0.20270270270270271,0.17494920962239605,0.23335234417540818
342810,-1,2,21,1,199,0,0.0,0.0,0.009213577320558386
342810,-1,2,22,1,430,359,0.8348837209302326,0.814987944315872,0.8531216882435753
342810,-1,2,23,1,347,303,0.8731988472622478,0.852730955729471,0.8913443336452579
342810,-1,2,24,1,715,538,0.7524475524475525,0.7352386837817497,0.7689196841055435
342810,-1,2,25,1,490,433,0.8836734693877552,0.8673248611867709,0.8983463472628201
342810,-1,2,26,1,822,689,0.8381995133819952,0.8243114072001104,0.8512256734587658
342810,-1,2,27,1,559,359,0.6422182468694096,0.620789688647509,0.6631156659021721
342810,-1,2,28,1,944,0,0.0,0.0,0.0019493694193714656
342810,-1,2,29,1,502,0,0.0,0.0,0.003662600331824248
342810,-1,2,30,1,683,0,0.0,0.0,0.002693292894612487
342810,-1,2,31,1,415,0,0.0,0.0,0.0044287200376473285
342810,-1,2,32,1,550,0,0.0,0.0,0.0033434902021848845
342810,-1,2,33,1,261,0,0.0,0.0,0.0070326284057184545
342810,-1,2,34,1,332,283,0.8524096385542169,0.8302972211450359,0.8722371521164813
342810,-1,2,35,1,136,105,0.7720588235294118,0.7303145364428952,0.8094105065169578
342810,-1,2,36,1,195,170,0.8717948717948718,0.8431939552315362,0.8961842140654976
342955,1,2,1,1,26,24,0.9230769230769231,0.8304494710592731,0.9726206808225989
342955,1,2,2,1,59,44,0.7457627118644068,0.6763571236677113,0.8056925190803593
342955,1,2,3,1,23,22,0.9565217391304348,0.8634852681904921,0.9925250657886666
342955,1,2,4,1,47,31,0.6595744680851063,0.576824111949377,0.7345946069768102
342955,1,2,5,1,76,61,0.8026315789473685,0.7461273717999254,0.8500963103457542
342955,1,2,6,1,113,101,0.8938053097345132,0.8564175995776484,0.9231995071471866
342955,1,2,7,1,86,77,0.8953488372093024,0.8511977613909941,0.9287635568961119
342955,1,2,8,1,96,70,0.7291666666666666,0.6761798235125783,0.7768626905776514
342955,1,2,9,1,73,59,0.8082191780821918,0.7507409845583773,0.8560784160679664
342955,1,2,10,1,125,111,0.888,0.8522822516122988,0.9166607268658905
342955,1,2,11,1,67,48,0.7164179104477612,0.6506841819833112,0.774882361118437
342955,1,2,12,1,22,18,0.8181818181818182,0.6975286964599433,0.9031068775800005
342955,1,2,13,1,67,53,0.7910447761194029,0.729294907217353,0.8428928148128733
342955,1,2,14,1,57,37,0.6491228070175439,0.5748291461932131,0.7175225549535307
342955,1,2,15,1,28,22,0.7857142857142857,0.6796625700384274,0.8672694914893792
342955,1,2,16,1,32,20,0.625,0.5209982847211418,0.7199516310878689
342955,1,2,17,1,23,20,0.8695652173913043,0.7586922729968927,0.9397159355868596
342955,1,2,18,1,32,5,0.15625,0.09044488144230224,0.24818988549002474
342955,1,2,19,1,17,13,0.7647058823529411,0.6173178415013844,0.8737118691031753
342955,1,2,20,1,20,17,0.85,0.7252227024932053,0.9305142391510798
342955,1,2,21,1,3,1,0.3333333333333333,0.055899907673396906,0.748005291042124
342955,1,2,22,2,56,5,0.0,0.0,0.0
342955,1,2,23,1,60,45,0.75,0.6815013655416284,0.809021770412337
342955,1,2,24,1,131,32,0.24427480916030533,0.2051766200310343,0.2876566087113698
342955,1,2,25,1,97,86,0.8865979381443299,0.8446962577105352,0.9193086946733667
342955,1,2,26,1,194,144,0.7422680412371134,0.7069983443721675,0.7748417080853546
342955,1,2,27,2,129,52,0.0,0.0,0.0
342955,1,2,28,1,177,100,0.5649717514124294,0.5245859446150878,0.6045699493132446
342955,1,2,29,1,115,91,0.7913043478260869,0.7463760579465036,0.8306123521742775
342955,1,2,30,1,166,112,0.6746987951807228,0.6342837363214321,0.7128415598012412
342955,1,2,31,1,91,66,0.7252747252747253,0.6704855628232237,0.774566574400762
342955,1,2,32,1,127,86,0.6771653543307087,0.6303714249940496,0.7209174860705654
342955,1,2,33,1,56,48,0.8571428571428571,0.7942289432582323,0.9050417276735612
342955,1,2,34,1,67,47,0.7014925373134329,0.6351910540941182,0.7610381277473539
