run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
343034,12.688611111111111,690,1,1,2,7,1,True,False,106,86,0.8113207547169812,0.7654453420143504,0.8506282294001783
343034,12.688611111111111,690,1,1,2,8,2,True,False,139,98,0.7050359712230215,0.6612755180252269,0.745584118817473
343034,12.688611111111111,690,1,1,2,9,1,True,True,118,91,0.7711864406779662,0.7258721405413526,0.8114244316611134
343034,12.688611111111111,690,1,1,2,10,1,True,True,192,147,0.765625,0.731005338309014,0.7972494291999735
343034,12.688611111111111,690,1,1,2,11,1,True,False,89,47,0.5280898876404494,0.4695363435838137,0.5859497204382669
343034,12.688611111111111,690,1,1,2,12,1,True,True,78,44,0.5641025641025641,0.5010412998477979,0.6253463884146773
343034,12.688611111111111,690,1,1,2,13,1,True,True,76,60,0.7894736842105263,0.7320878530999839,0.8382387260778241
343034,12.688611111111111,690,1,1,2,14,1,True,True,78,48,0.6153846153846154,0.5526390508711225,0.6748523480557665
343034,12.688611111111111,690,1,1,2,15,1,True,True,40,27,0.675,0.5845319696702684,0.7554055722849176
343034,12.688611111111111,690,1,1,2,16,1,True,True,49,32,0.6530612244897959,0.5721306545472008,0.7268990813757734
343034,12.688611111111111,690,1,1,2,17,2,True,False,16,11,0.6875,0.531357745292573,0.8151727121532064
343034,12.688611111111111,690,1,1,2,18,2,True,False,25,3,0.12,0.055394355384961964,0.2231700940105732
343034,12.688611111111111,690,1,1,2,19,1,True,True,17,15,0.8823529411764706,0.7476814479239755,0.9579902190404037
343034,12.688611111111111,690,1,1,2,20,1,True,True,13,10,0.7692307692307693,0.5944192183200492,0.8920415273307574
343034,12.688611111111111,690,1,1,2,21,1,True,False,8,6,0.75,0.5103218824726266,0.9097135168737231
343034,12.688611111111111,690,1,1,2,22,0,True,False,66,0,0.0,0.0,0.02752324034098663
343034,12.688611111111111,690,1,1,2,23,1,True,True,45,35,0.7777777777777778,0.6982301418377734,0.8429751599849654
343034,12.688611111111111,690,1,1,2,24,1,True,False,118,41,0.3474576271186441,0.30097916119714735,0.39675831513251325
